character,universe,page_length
last_call,wildstorm_universe,356255
lennox,prime_earth,361176
lex_luthor,dcau,393025
lincoln_march,prime_earth,385307
lion_mane,prime_earth,371317
lord_beyond_the_void,prime_earth,366953
maeve,warbringer,375917
majestros,wildstorm_universe,442901
marc_slayton,wildstorm_universe,383316
mari_mccabe,dcau,361732
mari_mccabe,lego_batman,361865
mari_mccabe,prime_earth,391506
mary_batson,dcau,379821
mary_batson,earth_22,374879
mary_batson,justice,363425
mary_batson,magic_of_shazam,369494
mary_batson,new_earth,415700
mary_turner,prime_earth,387107
matthew_cable,prime_earth,370218
max_mercury,dceased,365858
max_mercury,future_state,367950
max_mercury,new_earth,383535
max_mercury,titans_tomorrow,362958
maxine_baker,prime_earth,385554
maxwell_crandall,flashpoint_timeline,359664
mei_ling,prime_earth,357853
mercury_flash,earth_44,367319
midnighter,future_state,366605
midnighter,prime_earth,381278
midnighter,wildstorm_universe,404314
mikaal_tomas,new_earth,376870
mitchell_shelley_ii,prime_earth,360403
mongul,prime_earth,408230
mordru,pre_zero_hour,382790
morphicius,prime_earth,355496
nathaniel_barnes,gotham,369787
nereus,prime_earth,386500
niatpac_levram,earth_s,376919
nikki_faure,earth_9,351561
nikolas_kamarov,wildstorm_universe,384956
nix_uotan,prime_earth,378323
nora_west_allen,arrowverse,403380
nyx,new_earth,354493
oliver_truly,prime_earth,353159
olympia_atreidae,wildstorm_universe,374124
orion,new_earth,385771
orm_marius,prime_earth,465020
paul_kirk_ii,new_earth,365684
percival_edmund_chang,prime_earth,366705
percival_edward_chang,gen_13_movie,350318
persephone,wildstorm_universe,372860
pestilence,earth_2,387378
peter_cannon,new_earth,379804
platinum,gods_and_monsters,359573
pollux,flash_199_tv_series,366661
power_boy,new_earth,384899
power_boy,prime_earth,355140
priscilla_kitaen,wildstorm_universe,397155
quanto,pre_zero_hour,382824
r_amey_holl,new_earth,375366
raven,wildstorm_universe,364020
raymond_terrill,new_earth,410975
red_racer,earth_36,375890
richard_kent_shakespeare,pre_zero_hour,363760
robert_castro,prime_earth,355842
roman_sionis,new_earth,439305
rosabelle_mendez,new_earth,370999
rose_tattoo,prime_earth,366585
rose_tattoo,wildstorm_universe,372285
rose_wilson,dceased,366084
rose_wilson,future_state,357904
rose_wilson,prime_earth,394337
rose_wilson,smallville,353844
roy_harper,arrowverse,392927
rrall,new_earth,354635
ryan_kendall,new_earth,377571
sage_force,sage_forc,348014
sala_nisaba,new_earth,360037
salvador_joel_alonday,wildstorm_universe,373110
sandalphon,new_earth,357071
sasha_bordeaux,new_earth,381516
savitar,prime_earth,362351
scourge,new_earth,354228
sebastian_ashe,wildstorm_universe,357459
sela_allen,new_earth,362753
shay_lamden,arrowverse,359904
shazam,billy_batson,450852
shazam,magic_of_shazam,364559
shiera_sanders,new_earth,393847
siobhan_mcdougal,new_earth,376721
sister_eve,wildstorm_universe,362046
sky_tyrant,earth_3,392650
slade_wilson,arkhamverse,402352
slade_wilson,arrowverse,397446
slade_wilson,dceased,359952
slade_wilson,futures_end,363339
slade_wilson,injustice,393053
slade_wilson,prime_earth,551956
slade_wilson,smallville,365062
slobo,new_earth,366875
slyxx,wildstorm_universe,370298
sofia_ramos,prime_earth,369889
solis,new_earth,389929
speed_freak,earth_47,365178
stealth,new_earth,371547
superboy,dc_animated_movie_universe,389653
swamp_king,dark_multiverse,360962
tag_harris,arrowverse,358195
taiana_venediktov,arrowverse,366875
talon_of_178,prime_earth,354170
tanaka_rei,earth_d,369139
tanist,dc_one_million,375829
teri_magnus,justice_league_3,375805
teth_adam,dcau,377001
teth_adam,earth_16,377557
